Age,Female,Years,College,Certficates,Feedback,NPS,Explorer,Diplomat,Analyst,Salary
47,1,2,0,5,4,8,0,0,0,82600
51,0,2,1,1,1.84,5,1,0,0,68000
60,0,6,0,4,4,7,0,0,1,91000
52,0,1,0,1,1.14,2,0,0,1,32000
52,0,6,0,4,3.28,5,0,0,1,59000
28,0,3,1,0,3.29,3,0,0,1,55000
38,0,6,1,5,3.93,10,0,0,1,128000
42,1,2,1,4,3.14,7,0,1,0,80600
30,0,7,0,1,2.97,4,0,0,0,51000
32,0,2,1,1,3.61,5,1,0,0,72000
46,0,7,1,1,1.68,5,0,0,0,74000
43,0,6,1,1,1.67,4,0,1,0,84000
25,1,2,0,1,3.33,4,1,0,0,45000
28,0,2,1,1,2.47,4,0,0,1,39000
45,0,1,1,2,2.11,5,0,1,0,95000
56,0,2,1,5,4,9,0,1,0,137000
50,0,5,1,2,1.76,8,1,0,0,73000
27,0,1,1,2,1.44,4,0,1,0,53000
27,0,2,0,0,2.99,4,1,0,0,31000
57,0,1,0,3,3.98,5,1,0,0,85000
52,0,1,1,2,3.02,9,0,1,0,126000
42,0,2,0,2,2.13,5,0,1,0,67000
36,0,1,1,6,3.21,10,0,1,0,129000
61,0,1,1,3,4,9,1,0,0,96000
24,1,2,1,3,3.85,9,1,0,0,68200
39,1,1,1,3,4,7,0,1,0,104200
48,0,10,1,4,4,8,1,0,0,134000
41,0,2,1,1,4,5,0,0,1,62000
35,0,2,1,6,4,8,0,0,1,90000
41,0,2,1,3,2.65,6,1,0,0,94000
32,0,2,1,0,3.38,5,1,0,0,68000
32,0,2,1,1,4,5,0,0,0,54000
40,0,10,0,5,3.82,9,1,0,0,94000
58,0,1,0,4,1.82,6,0,0,0,62000
37,1,6,1,0,4,7,0,1,0,86600
25,0,1,0,5,2.61,6,0,0,1,48000
41,0,1,1,2,3.68,5,0,0,0,83000
33,0,2,1,4,2.66,6,0,1,0,73000
40,0,2,1,4,4,9,0,0,1,96000
48,0,8,1,1,3.02,5,0,0,1,82000
52,0,2,1,2,4,8,0,1,0,123000
62,0,1,1,2,4,7,0,0,0,111000
47,0,5,0,0,4,3,0,0,1,74000
34,1,1,1,6,2.6,8,1,0,0,94200
34,1,4,1,1,1.93,7,0,1,0,57200
55,0,2,1,3,3.29,7,0,1,0,84000
46,0,7,1,6,4,8,1,0,0,182000
54,0,2,1,3,3.52,9,1,0,0,116000
62,0,2,1,1,3.68,6,1,0,0,84000
54,1,9,1,3,2.04,9,0,1,0,78200
48,0,2,1,3,2.56,10,1,0,0,77000
56,0,1,1,4,3.06,6,0,1,0,105000
58,1,4,1,1,1.12,4,0,0,1,57400
42,1,1,1,3,1.4,3,1,0,0,75600
62,0,6,1,5,4,9,1,0,0,139000
32,1,2,1,0,4,5,0,1,0,68600
54,0,1,0,3,2.05,5,0,1,0,76000
34,0,2,1,1,1.61,5,0,1,0,63000
25,0,2,1,6,4,9,1,0,0,91000
32,0,1,0,0,2.85,3,1,0,0,35000
41,0,1,1,1,1.86,5,0,1,0,58000
54,0,4,1,1,3.79,7,1,0,0,109000
45,0,7,1,3,1.43,6,0,0,0,53000
36,1,2,1,0,3.02,3,1,0,0,65800
33,0,2,1,4,2.83,9,1,0,0,97000
43,1,2,1,3,3.4,5,0,1,0,82400
25,0,2,1,4,1.85,9,1,0,0,73000
26,1,2,0,2,3.31,5,0,0,0,47800
40,1,1,1,1,2.32,3,0,0,0,56000
34,1,2,0,1,2.05,2,0,0,0,37200
24,0,7,0,3,1.82,8,1,0,0,54000
58,0,3,0,1,4,5,0,1,0,76000
33,0,1,1,3,3.16,8,0,1,0,72000
36,0,1,1,3,2.11,9,0,1,0,101000
56,1,7,0,1,4,6,0,1,0,59800
52,1,4,1,2,2.94,5,1,0,0,68600
31,0,2,1,6,2.43,10,1,0,0,79000
30,0,2,1,4,1.62,6,1,0,0,80000
46,1,1,0,3,1.96,6,1,0,0,56800
52,0,1,1,2,1.67,4,0,0,0,65000
54,1,3,1,0,3.66,9,0,1,0,60200
25,0,2,0,3,3.73,6,0,0,0,59000
50,1,5,0,0,3.9,7,0,1,0,67000
59,0,1,1,1,3.47,7,1,0,0,70000
35,0,5,1,1,1.25,5,1,0,0,53000
53,0,2,1,4,3.63,3,0,0,1,65000
60,0,1,0,3,2.12,4,0,0,1,65000
49,1,3,1,1,2.76,4,0,1,0,56200
44,0,7,0,4,3.67,8,0,1,0,107000
53,0,1,1,2,2.24,4,1,0,0,74000
48,1,9,1,0,4,3,0,0,0,72400
56,0,2,1,2,3.88,9,1,0,0,101000
47,0,2,0,3,2.57,8,1,0,0,95000
26,1,6,0,5,3.35,7,0,0,0,59800
59,1,1,1,3,2.92,9,0,1,0,99200
33,1,1,1,1,2.44,5,1,0,0,62400
50,1,2,1,2,2.9,9,1,0,0,88000
25,1,1,1,2,2.6,5,0,0,1,49000
26,0,7,1,2,2.46,5,1,0,0,57000
28,0,2,1,1,3.71,9,1,0,0,85000
49,1,1,1,1,3.66,7,0,1,0,90200
64,1,3,1,4,4,9,1,0,0,102200
42,0,1,0,3,1.83,5,1,0,0,87000
38,0,2,1,2,3.22,6,0,1,0,79000
56,0,1,1,1,4,8,1,0,0,102000
30,0,1,1,4,2.61,7,1,0,0,62000
59,0,1,0,2,2.59,3,0,1,0,57000
46,0,7,1,4,2.54,9,1,0,0,96000
45,0,1,1,1,3.63,5,1,0,0,83000
50,0,1,1,4,2.49,7,0,1,0,84000
35,0,1,1,2,3.61,5,0,0,0,76000
32,0,1,1,1,3.21,5,1,0,0,59000
58,0,1,1,1,2.39,6,1,0,0,70000
63,1,1,0,1,1.99,4,0,1,0,63400
53,1,2,0,4,1.32,6,0,1,0,54400
57,0,2,1,4,3.12,6,0,0,1,72000
42,0,2,1,3,1.13,5,1,0,0,77000
38,1,6,1,1,1.9,5,1,0,0,98400
26,0,4,1,4,2.7,4,0,0,0,52000
51,1,2,1,2,2.03,9,0,1,0,85800
64,0,3,1,0,1.58,4,1,0,0,45000
28,0,7,1,5,2.32,10,0,1,0,72000
48,0,7,1,3,2.91,7,1,0,0,117000
37,0,1,1,2,3.35,4,0,0,0,73000
40,0,2,1,3,3.55,9,0,1,0,85000
42,1,7,1,0,2.5,10,1,0,0,52600
40,1,1,0,5,1.98,7,1,0,0,64000
47,0,2,1,3,1.72,7,0,1,0,93000
53,0,4,1,2,3.16,4,0,1,0,66000
43,1,2,0,2,1.79,6,0,1,0,65400
51,0,2,0,0,1.76,4,0,1,0,61000
50,1,9,1,0,4,6,0,0,0,63000
30,0,2,0,0,4,5,0,1,0,79000
60,0,2,1,1,2.04,7,1,0,0,54000
28,0,1,1,2,2.24,3,0,0,1,45000
56,0,2,1,3,1.93,3,0,0,0,61000
62,0,2,1,5,3.63,10,1,0,0,127000
27,0,1,0,3,1.99,6,1,0,0,69000
58,1,1,0,1,3.15,7,0,1,0,70400
45,1,1,1,3,3.42,9,1,0,0,70000
64,0,1,1,1,4,10,1,0,0,76000
45,1,1,1,2,4,8,1,0,0,67000
33,0,5,1,2,2.18,7,1,0,0,82000
43,0,1,1,0,2.12,3,0,1,0,71000
49,0,2,1,1,2.33,8,0,1,0,79000
28,0,2,1,2,3.66,8,0,1,0,82000
44,0,2,1,2,2.83,6,1,0,0,115000
63,0,2,1,5,3.49,8,0,0,0,133000
49,0,10,1,4,2.52,6,1,0,0,127000
39,0,1,1,2,2.12,5,0,1,0,112000
35,0,6,1,1,3.79,8,0,1,0,90000
30,0,4,1,2,2.5,8,0,1,0,69000
41,0,1,0,4,1.35,4,0,0,0,51000
56,0,9,0,1,3.28,4,0,1,0,68000
47,0,10,1,1,1.22,5,0,1,0,93000
62,1,2,1,3,3.29,7,0,1,0,79600
63,1,11,1,4,2.3,8,1,0,0,82400
59,1,1,1,3,3.57,9,1,0,0,83200
38,0,3,1,2,4,9,1,0,0,84000
43,0,11,0,3,1.93,8,0,0,0,73000
54,1,1,1,0,2.36,7,0,1,0,68200
37,0,6,1,2,2.34,8,0,1,0,79000
49,1,9,0,4,2.79,9,0,1,0,88200
49,0,3,1,1,3.98,6,0,1,0,145000
28,1,2,0,2,3.06,4,0,0,0,51400
43,0,2,1,5,3.47,8,0,1,0,127000
49,1,1,1,0,1.48,3,0,0,1,51200
55,0,1,1,3,1.45,3,0,0,1,62000
42,1,1,1,2,1.76,7,0,1,0,72600
43,0,11,0,5,3.26,10,0,0,0,135000
43,1,2,1,0,1.91,3,0,0,1,48400
36,0,1,0,3,2.59,8,1,0,0,79000
35,0,2,0,1,2.27,6,1,0,0,49000
44,1,1,1,2,2.13,5,1,0,0,64200
31,0,2,1,1,2.59,3,0,0,0,53000
56,0,2,0,3,2.06,6,0,1,0,75000
45,1,1,0,5,3.62,8,0,1,0,103000
34,1,1,1,2,2,8,0,1,0,66200
44,0,7,0,3,2.1,5,1,0,0,78000
38,0,2,0,6,1.58,6,0,0,1,72000
36,1,2,1,0,1.35,5,0,1,0,44800
53,0,10,0,3,2.56,9,0,1,0,69000
59,1,6,1,1,2.38,7,0,1,0,54200
64,0,1,0,5,2.23,4,0,0,0,72000
28,1,6,1,1,2.17,7,0,1,0,60400
46,1,4,1,1,2.05,8,0,1,0,78800
61,0,1,1,5,3.76,10,1,0,0,133000
55,0,1,1,2,2.59,10,1,0,0,83000
46,0,1,1,3,3.01,8,0,0,1,62000
27,0,6,0,2,2.29,6,0,1,0,55000
56,1,2,1,5,2.74,8,0,1,0,120800
36,0,1,1,1,3.07,4,0,0,1,53000
44,0,10,1,0,3.64,9,0,1,0,67000
55,0,2,1,6,1.78,9,0,0,0,87000
56,0,2,1,3,2.93,5,0,0,1,98000
56,0,2,0,5,2.64,7,1,0,0,114000
28,0,6,1,1,1.69,5,1,0,0,66000
44,1,2,1,2,3.87,6,0,1,0,67200
59,0,2,1,6,2.52,8,0,0,1,88000
28,0,1,1,2,3.17,4,0,1,0,57000
58,0,1,0,3,3.41,4,1,0,0,82000
64,0,2,0,0,3.92,2,0,0,0,34000
27,1,1,1,1,2.09,6,0,1,0,43600
40,1,2,1,0,2.97,4,1,0,0,49000
30,0,1,1,2,2.35,4,0,0,0,53000
59,0,6,1,1,4,6,0,1,0,75000
55,0,5,1,4,1.62,5,1,0,0,143000
31,0,2,0,5,4,10,0,1,0,124000
61,0,1,1,2,2.92,6,0,1,0,105000
40,0,12,1,2,2.09,10,1,0,0,121000
26,0,7,1,1,4,8,1,0,0,107000
38,0,1,1,3,2.83,5,0,0,0,74000
46,1,2,1,2,1.87,3,0,0,0,63800
64,1,5,1,2,2.25,6,1,0,0,69200
27,0,2,0,3,3.04,5,0,0,1,59000
34,0,11,0,5,3.14,9,1,0,0,91000
26,0,9,1,5,2.83,10,0,1,0,114000
30,0,1,0,1,1.66,4,1,0,0,67000
47,1,1,1,5,2.42,7,1,0,0,91600
63,1,2,1,1,3.18,10,1,0,0,52400
42,0,2,1,1,2.09,4,0,1,0,83000
40,1,11,1,0,3.74,3,0,1,0,50000
49,0,1,1,4,4,9,0,1,0,146000
35,1,2,0,4,1.57,6,0,1,0,52000
32,0,2,1,1,2.28,7,1,0,0,63000
37,0,10,1,2,1.22,8,1,0,0,56000
62,1,5,1,1,2.28,5,1,0,0,56600
48,1,2,1,1,4,10,0,1,0,88400
54,1,2,0,5,3.67,8,1,0,0,74200
47,0,8,1,2,3.15,6,1,0,0,77000
55,0,1,1,2,3.35,5,1,0,0,105000
37,0,2,1,4,3.01,5,1,0,0,94000
61,1,3,0,2,2.25,6,1,0,0,51800
59,1,5,0,0,1.53,2,0,0,0,36200
38,1,1,1,2,1.43,3,1,0,0,59400
60,0,1,1,0,1.6,6,1,0,0,77000
39,1,13,1,3,2.07,9,1,0,0,66200
42,1,2,1,3,2.48,7,1,0,0,65600
32,0,7,1,2,3.19,6,0,0,1,75000
25,1,2,1,4,1.21,3,0,0,0,54000
37,0,1,1,5,1.81,6,0,0,0,65000
50,1,7,1,2,2.08,6,0,0,0,54000
60,1,2,1,2,4,7,1,0,0,70000
25,1,2,1,3,4,6,0,1,0,65000
54,0,1,1,4,1.33,6,0,0,1,55000
29,0,7,1,4,1.44,5,0,0,1,51000
51,1,11,1,0,3.59,8,1,0,0,67800
33,0,1,0,5,2.93,9,0,1,0,90000
56,0,2,1,1,2.62,4,1,0,0,84000
28,1,2,1,1,1.56,4,0,0,1,44400
50,1,2,0,3,2.67,8,1,0,0,67000
39,1,3,1,4,3.3,9,0,1,0,92200
27,1,7,0,2,2.01,6,0,1,0,47600
55,0,2,1,5,2.17,8,1,0,0,100000
57,0,1,0,5,4,9,0,1,0,113000
41,1,4,1,1,4,6,0,0,1,86800
59,1,6,0,3,1.99,6,1,0,0,63200
56,1,5,1,2,1.78,7,1,0,0,72800
64,1,2,1,4,1.85,9,1,0,0,58200
25,0,1,1,1,1.28,3,0,0,1,31000
44,0,8,1,6,1.85,7,0,0,0,101000
44,0,1,1,3,4,10,0,1,0,113000
41,1,2,1,5,2.19,9,0,1,0,65800
27,0,2,1,1,1.31,4,1,0,0,43000
63,1,1,0,3,3.75,7,0,1,0,74400
36,1,1,1,3,1.67,6,1,0,0,54800
31,0,8,0,1,2.75,6,0,0,0,57000
29,1,2,0,5,2,6,1,0,0,68200
41,1,1,1,0,4,4,0,0,1,54800
34,0,5,1,1,3.12,7,0,1,0,67000
57,1,2,0,1,1.9,5,1,0,0,42600
33,0,1,1,2,3.07,3,1,0,0,63000
28,0,5,1,4,1.66,8,1,0,0,66000
42,0,2,1,3,2.05,5,0,0,1,70000
58,0,2,1,2,1.84,3,0,0,0,52000
26,0,1,1,5,2.73,8,0,1,0,75000
38,0,9,1,4,2.92,8,0,1,0,79000
58,1,2,0,2,3.99,8,1,0,0,73400
28,0,1,1,4,3.56,8,0,0,1,77000
48,1,5,1,5,2.3,8,0,1,0,96400
33,1,2,1,3,3.54,7,0,0,0,69400
42,0,1,1,5,3.38,7,0,1,0,77000
25,1,1,1,2,2.75,6,0,1,0,63000
47,0,2,0,2,1.72,4,1,0,0,66000
45,0,2,1,4,2.36,10,1,0,0,110000
43,0,1,1,4,2.41,7,0,1,0,72000
61,0,6,1,0,4,6,1,0,0,91000
48,1,1,1,5,4,10,0,0,1,102400
63,0,2,1,3,2.17,8,0,1,0,76000
49,0,9,1,0,1.32,3,0,0,1,49000
61,0,7,1,2,4,7,0,0,1,77000
62,0,2,1,3,1.98,7,1,0,0,72000
42,0,2,1,5,1.97,8,1,0,0,87000
61,0,5,1,3,3.01,8,0,1,0,69000
44,1,8,0,0,3.68,5,0,1,0,58200
31,0,1,1,2,2.52,8,1,0,0,58000
51,0,1,1,3,2.57,9,0,1,0,106000
38,0,3,1,2,4,5,0,0,0,104000
65,1,2,1,0,3.1,10,1,0,0,74000
34,1,2,1,1,2.58,7,0,1,0,67200
31,0,5,1,2,3.15,10,1,0,0,73000
39,1,10,1,0,4,9,1,0,0,84200
31,0,2,1,3,3.47,9,1,0,0,85000
38,0,2,1,1,2.27,3,0,0,0,57000
35,1,7,1,0,1.98,6,1,0,0,64000
57,1,1,1,4,3.02,9,1,0,0,116600
46,0,3,1,2,1.56,7,1,0,0,109000
43,0,2,1,5,3.43,9,1,0,0,89000
59,0,2,1,2,2.47,3,0,0,0,50000
32,0,1,1,1,2.05,3,0,0,0,54000
59,0,1,1,4,2.96,9,1,0,0,85000
27,0,2,1,2,3.75,3,0,0,0,45000
45,0,1,1,3,3.54,6,0,1,0,108000
59,0,2,0,2,4,9,1,0,0,89000
41,1,4,1,0,3.67,8,0,1,0,94800
43,0,4,1,4,3.19,9,1,0,0,116000
44,0,1,1,4,4,10,1,0,0,150000
63,0,1,1,5,1.19,4,0,0,1,88000
41,0,5,1,4,2.98,4,0,0,0,61000
47,0,1,0,2,4,4,0,0,1,62000
26,0,1,1,3,1.73,7,0,1,0,82000
46,0,3,1,1,3.84,10,1,0,0,82000
61,1,5,1,0,2.77,3,1,0,0,50800
55,1,4,0,3,3.2,8,0,1,0,74000
27,0,6,1,3,1.34,7,0,1,0,61000
43,1,11,1,0,4,9,1,0,0,105400
39,1,1,1,1,3.86,3,0,1,0,45200
45,0,1,1,2,3.6,5,1,0,0,115000
29,1,1,1,2,2.66,3,0,0,1,48200
25,0,3,1,5,4,8,0,1,0,99000
29,1,4,1,1,3,5,1,0,0,48200
27,0,2,1,6,1.86,6,1,0,0,83000
51,0,2,1,0,1.36,2,0,1,0,59000
62,0,2,1,3,1.71,7,0,1,0,81000
33,0,8,1,2,4,7,0,1,0,88000
28,0,1,1,1,2.36,3,0,0,1,43000
63,0,2,0,1,3.5,6,0,1,0,50000
40,1,1,0,2,2.34,7,0,1,0,54000
59,0,1,1,4,3.06,8,1,0,0,108000
49,0,1,0,5,4,8,1,0,0,147000
26,0,2,1,0,1.22,3,0,1,0,40000
42,0,1,1,2,2.63,4,1,0,0,73000
56,0,4,1,2,2.59,4,0,1,0,73000
31,0,5,0,3,3.41,6,0,0,0,56000
60,0,2,0,1,3.18,3,1,0,0,64000
40,1,1,1,1,1.55,2,0,0,0,63000
29,0,4,1,1,1.96,3,0,0,0,48000
35,1,2,1,1,1.15,4,0,0,1,56000
54,1,6,1,2,1.73,6,1,0,0,88200
40,0,1,1,4,2.33,8,1,0,0,74000
38,1,1,1,2,3.31,3,0,0,1,60400
53,0,1,1,0,3.71,6,0,1,0,80000
43,0,1,0,1,2.11,4,1,0,0,59000
30,1,1,1,4,3.82,8,0,1,0,70000
63,0,7,0,0,2.67,6,0,1,0,52000
63,0,11,0,3,1.91,5,0,0,1,59000
40,0,5,1,4,2.35,8,1,0,0,105000
30,0,2,1,3,2.03,9,1,0,0,80000
53,1,2,0,2,3.33,7,0,1,0,39400
59,0,3,1,3,4,9,0,1,0,94000
51,1,2,0,2,3.75,10,1,0,0,79800
40,0,2,1,6,2.2,8,1,0,0,113000
26,0,2,1,3,2.77,6,1,0,0,99000
53,1,1,1,2,3.21,5,1,0,0,51400
51,1,1,1,2,4,4,0,0,0,66800
28,1,2,1,2,2.2,9,1,0,0,66400
49,1,2,1,0,2.43,3,0,0,1,43200
31,0,2,1,2,2.55,7,1,0,0,55000
34,0,1,1,4,2.33,8,0,0,0,69000
26,0,2,1,1,2.66,4,0,1,0,49000
63,1,1,1,3,3.18,5,0,0,1,65400
36,0,8,1,5,3.09,9,0,1,0,130000
36,0,4,0,2,1.33,3,0,0,0,49000
60,1,3,0,4,1.81,5,0,0,1,62000
62,1,1,1,2,3.65,6,0,0,1,57600
37,0,2,1,3,3.77,9,0,1,0,96000
34,0,2,1,1,3.5,6,0,0,0,70000
42,0,1,0,3,2.28,5,1,0,0,64000
47,1,1,1,1,3.37,6,1,0,0,69600
38,0,2,0,4,1.27,4,0,0,0,58000
59,0,1,0,1,2.53,3,0,1,0,57000
60,1,2,1,3,2.76,5,1,0,0,48000
58,0,2,0,3,2.76,7,0,1,0,95000
39,0,6,1,2,2.1,7,1,0,0,113000
62,1,1,1,6,1.95,9,1,0,0,145600
50,0,2,0,0,2.87,6,1,0,0,62000
58,0,5,1,2,2.98,8,1,0,0,78000
35,0,2,1,1,2.62,4,1,0,0,64000
42,0,1,1,2,3.49,6,1,0,0,92000
59,0,3,1,2,1.94,9,1,0,0,64000
27,1,1,1,2,2.92,8,1,0,0,67600
40,0,10,0,2,1.54,7,0,1,0,85000
26,0,1,1,1,4,4,0,0,0,73000
41,0,7,1,1,3.55,10,1,0,0,98000
54,0,2,1,1,2.44,8,0,1,0,77000
38,0,1,1,3,2.12,5,0,1,0,72000
53,0,2,1,1,2.23,4,0,1,0,74000
34,1,2,1,1,3.58,5,0,1,0,67200
28,1,1,1,3,1.96,4,0,0,1,59400
40,0,6,1,2,1.33,4,0,1,0,60000
33,0,8,0,4,1.15,10,1,0,0,62000
56,1,2,1,2,2.1,8,1,0,0,73800
56,0,1,1,2,1.32,4,0,1,0,73000
58,0,1,1,4,2.89,7,0,1,0,107000
52,0,8,1,1,4,9,0,1,0,103000
44,0,2,1,4,3.21,4,0,0,0,86000
40,0,1,0,0,3.79,4,0,1,0,68000
37,0,1,1,0,3.79,7,0,0,0,58000
39,1,2,1,3,2.29,3,0,1,0,60200
52,0,1,1,3,1.62,8,0,0,0,89000
47,0,2,1,1,2.58,6,0,1,0,79000
58,1,1,1,3,3.91,5,0,0,1,83400
49,0,1,0,4,2.83,5,1,0,0,78000
56,0,1,1,1,2.2,5,1,0,0,56000
51,0,9,1,2,4,9,1,0,0,122000
42,0,1,1,4,2.9,5,0,0,0,76000
54,0,1,0,0,2.07,3,1,0,0,42000
34,1,4,1,1,4,9,0,1,0,86200
61,0,1,0,1,1.51,5,0,1,0,49000
34,1,8,0,6,1.35,10,1,0,0,59200
42,1,1,1,0,2.6,5,0,1,0,59600
34,1,1,1,2,2.29,4,0,1,0,71200
34,1,2,1,2,4,9,1,0,0,73200
26,0,1,1,3,1.16,5,1,0,0,80000
30,0,2,1,4,2.13,8,1,0,0,83000
31,0,8,0,4,2.53,7,0,0,1,64000
60,0,1,0,5,2.5,5,1,0,0,75000
46,0,2,0,1,4,4,0,0,0,70000
62,0,1,1,0,2.91,4,1,0,0,65000
34,1,2,1,4,3.72,7,0,1,0,96200
36,0,2,0,2,1.59,4,0,0,0,53000
29,0,1,1,1,2.12,5,0,1,0,48000
48,0,2,0,4,2.11,7,0,0,1,55000
31,1,2,0,3,3.9,10,0,1,0,83800
61,1,2,0,5,3.79,6,1,0,0,87800
51,0,1,0,5,4,4,0,0,1,92000
54,0,2,1,1,2.58,4,1,0,0,56000
35,0,2,0,4,3.49,9,0,1,0,74000
26,1,2,1,1,1.99,5,1,0,0,50800
64,0,2,1,2,3.91,6,0,0,0,86000
34,0,1,1,1,1.95,4,0,0,1,38000
33,1,1,1,5,1.59,8,0,1,0,74400
43,0,1,1,5,3.13,7,1,0,0,110000
39,0,2,0,0,4,8,1,0,0,67000
28,1,2,1,1,3.53,6,0,1,0,47400
25,1,2,0,0,2.88,5,1,0,0,45000
48,0,1,1,2,1.65,5,0,1,0,75000
38,0,2,0,2,3.85,10,0,1,0,66000
32,0,1,1,3,1.88,4,1,0,0,57000
32,0,3,1,5,2.55,6,0,0,1,68000
64,0,1,1,0,1.97,4,1,0,0,55000
62,0,2,1,4,2.91,6,0,0,0,75000
28,0,2,1,0,3.31,4,1,0,0,47000
31,0,2,1,6,1.84,8,0,0,0,72000
55,1,1,0,4,4,7,1,0,0,93000
25,0,2,0,2,1.27,3,0,0,0,36000
39,1,2,1,3,1.88,8,1,0,0,73200
56,0,1,1,4,1.38,4,0,1,0,79000
37,0,2,1,1,1.84,3,0,0,0,52000
35,0,1,1,5,2.17,6,0,0,0,85000
58,0,2,1,3,1.79,9,0,1,0,69000
30,0,8,1,0,2.94,5,0,0,1,58000
31,0,1,0,6,2.05,4,0,0,0,59000
32,0,5,1,3,2.51,5,0,1,0,74000
28,1,2,1,3,2.69,7,1,0,0,94400
45,1,1,1,1,2.65,3,1,0,0,52000
53,1,2,1,4,3.32,9,0,1,0,111400
46,0,1,1,4,3.06,10,1,0,0,120000
40,0,8,0,2,3.3,10,1,0,0,78000
43,0,2,1,2,3.74,5,0,0,1,96000
64,0,2,1,3,1.73,6,0,0,0,68000
48,0,6,1,0,2.6,7,0,1,0,90000
53,0,2,1,2,1.4,6,1,0,0,69000
38,1,2,1,1,2.9,6,0,1,0,71400
62,1,2,1,2,2.73,9,1,0,0,60600
54,0,4,1,5,3.76,9,0,1,0,176000
62,0,1,1,6,3.65,9,0,1,0,163000
64,0,2,1,0,2.72,4,0,1,0,91000
43,0,2,1,5,3.36,10,1,0,0,114000
46,1,11,1,4,3.56,9,0,1,0,81800
63,1,10,1,2,4,9,1,0,0,91400
61,0,1,1,2,2.59,7,1,0,0,99000
44,1,2,1,3,2.81,7,0,1,0,90200
56,0,2,1,2,3.39,4,0,1,0,81000
56,0,1,1,1,2.42,5,0,1,0,87000
50,0,1,1,3,1.6,7,1,0,0,66000
38,0,3,1,2,2.39,5,0,0,0,72000
62,0,2,1,2,4,8,0,1,0,99000
45,1,4,1,5,1.29,5,0,0,0,61000
43,0,2,1,1,2.17,6,0,1,0,74000
39,0,2,1,4,3.36,9,0,1,0,107000
49,0,2,1,3,1.23,6,1,0,0,89000
28,1,11,0,5,3.24,8,1,0,0,95400
37,0,2,1,5,3.05,10,0,0,0,90000
46,0,2,1,3,3.92,5,0,0,0,102000
48,0,10,1,5,2.93,8,0,1,0,123000
37,1,2,1,1,2.6,4,0,1,0,82600
35,0,1,1,0,1.3,4,1,0,0,54000
62,0,2,1,1,1.71,6,0,1,0,88000
37,0,2,1,2,1.74,3,0,0,1,67000
38,0,1,1,2,2.38,4,0,0,0,68000
56,1,3,1,4,2.75,10,1,0,0,106800
47,0,1,1,1,3.4,7,0,1,0,95000
50,1,2,0,3,4,10,0,1,0,78000
25,0,1,0,5,1.33,5,0,0,1,49000
37,0,2,0,1,1.4,4,0,1,0,55000
62,0,1,1,2,3.17,5,0,1,0,95000
62,1,2,1,5,1.97,7,0,1,0,76600
