Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS
339,Hardware,26,0,7,Yes,Explorer,2,2.46,57000,5
340,Hardware,28,0,2,Yes,Explorer,1,3.71,85000,9
341,Hardware,49,1,1,Yes,Diplomat,1,3.66,90200,7
344,Hardware,64,1,3,Yes,Explorer,4,4,102200,9
345,Hardware,42,0,1,No,Explorer,3,1.83,87000,5
346,Hardware,38,0,2,Yes,Diplomat,2,3.22,79000,6
348,Hardware,56,0,1,Yes,Explorer,1,4,102000,8
350,Hardware,30,0,1,Yes,Explorer,4,2.61,62000,7
351,Hardware,59,0,1,No,Diplomat,2,2.59,57000,3
352,Hardware,46,0,7,Yes,Explorer,4,2.54,96000,9
353,Hardware,45,0,1,Yes,Explorer,1,3.63,83000,5
355,Hardware,50,0,1,Yes,Diplomat,4,2.49,84000,7
357,Hardware,35,0,1,Yes,Sentinel,2,3.61,76000,5
358,Hardware,32,0,1,Yes,Explorer,1,3.21,59000,5
1188,Hardware,58,0,1,Yes,Explorer,1,2.39,70000,6
1192,Hardware,63,1,1,No,Diplomat,1,1.99,63400,4
1194,Hardware,53,1,2,No,Diplomat,4,1.32,54400,6
1195,Hardware,57,0,2,Yes,Analyst,4,3.12,72000,6
1197,Hardware,42,0,2,Yes,Explorer,3,1.13,77000,5
1198,Hardware,38,1,6,Yes,Explorer,1,1.9,98400,5
1203,Hardware,26,0,4,Yes,Sentinel,4,2.7,52000,4
1204,Hardware,51,1,2,Yes,Diplomat,2,2.03,85800,9
1208,Hardware,64,0,3,Yes,Explorer,0,1.58,45000,4
1210,Hardware,28,0,7,Yes,Diplomat,5,2.32,72000,10
1211,Hardware,48,0,7,Yes,Explorer,3,2.91,117000,7
1215,Hardware,37,0,1,Yes,Sentinel,2,3.35,73000,4
1217,Hardware,40,0,2,Yes,Diplomat,3,3.55,85000,9
1218,Hardware,42,1,7,Yes,Explorer,0,2.5,52600,10
1222,Hardware,40,1,1,No,Explorer,5,1.98,64000,7
1224,Hardware,47,0,2,Yes,Diplomat,3,1.72,93000,7
1225,Hardware,53,0,4,Yes,Diplomat,2,3.16,66000,4
1226,Hardware,43,1,2,No,Diplomat,2,1.79,65400,6
1227,Hardware,51,0,2,No,Diplomat,0,1.76,61000,4
1228,Hardware,50,1,9,Yes,Sentinel,0,4,63000,6
1230,Hardware,30,0,2,No,Diplomat,0,4,79000,5
1231,Hardware,60,0,2,Yes,Explorer,1,2.04,54000,7
1233,Hardware,28,0,1,Yes,Analyst,2,2.24,45000,3
1234,Hardware,56,0,2,Yes,Sentinel,3,1.93,61000,3
1236,Hardware,62,0,2,Yes,Explorer,5,3.63,127000,10
1238,Hardware,27,0,1,No,Explorer,3,1.99,69000,6
1239,Hardware,58,1,1,No,Diplomat,1,3.15,70400,7
1240,Hardware,45,1,1,Yes,Explorer,3,3.42,70000,9
1241,Hardware,64,0,1,Yes,Explorer,1,4,76000,10
1242,Hardware,45,1,1,Yes,Explorer,2,4,67000,8
1243,Hardware,33,0,5,Yes,Explorer,2,2.18,82000,7
1244,Hardware,43,0,1,Yes,Diplomat,0,2.12,71000,3
1245,Hardware,49,0,2,Yes,Diplomat,1,2.33,79000,8
1246,Hardware,28,0,2,Yes,Diplomat,2,3.66,82000,8
1249,Hardware,44,0,2,Yes,Explorer,2,2.83,115000,6
1252,Hardware,63,0,2,Yes,Sentinel,5,3.49,133000,8
1256,Hardware,49,0,10,Yes,Explorer,4,2.52,127000,6
1259,Hardware,39,0,1,Yes,Diplomat,2,2.12,112000,5
1262,Hardware,35,0,6,Yes,Diplomat,1,3.79,90000,8
1263,Hardware,30,0,4,Yes,Diplomat,2,2.5,69000,8
1265,Hardware,41,0,1,No,Sentinel,4,1.35,51000,4
1267,Hardware,56,0,9,No,Diplomat,1,3.28,68000,4
1274,Hardware,47,0,10,Yes,Diplomat,1,1.22,93000,5
1275,Hardware,62,1,2,Yes,Diplomat,3,3.29,79600,7
1276,Hardware,63,1,11,Yes,Explorer,4,2.3,82400,8
1277,Hardware,59,1,1,Yes,Explorer,3,3.57,83200,9
1278,Hardware,38,0,3,Yes,Explorer,2,4,84000,9
1279,Hardware,43,0,11,No,Sentinel,3,1.93,73000,8
1283,Hardware,54,1,1,Yes,Diplomat,0,2.36,68200,7
1285,Hardware,37,0,6,Yes,Diplomat,2,2.34,79000,8
1287,Hardware,49,1,9,No,Diplomat,4,2.79,88200,9
1288,Hardware,49,0,3,Yes,Diplomat,1,3.98,145000,6
1291,Hardware,28,1,2,No,Sentinel,2,3.06,51400,4
1292,Hardware,43,0,2,Yes,Diplomat,5,3.47,127000,8
1295,Hardware,49,1,1,Yes,Analyst,0,1.48,51200,3
1296,Hardware,55,0,1,Yes,Analyst,3,1.45,62000,3
1297,Hardware,42,1,1,Yes,Diplomat,2,1.76,72600,7
1299,Hardware,43,0,11,No,Sentinel,5,3.26,135000,10
1300,Hardware,43,1,2,Yes,Analyst,0,1.91,48400,3
1304,Hardware,36,0,1,No,Explorer,3,2.59,79000,8
1306,Hardware,35,0,2,No,Explorer,1,2.27,49000,6
1309,Hardware,44,1,1,Yes,Explorer,2,2.13,64200,5
1310,Hardware,31,0,2,Yes,Sentinel,1,2.59,53000,3
1312,Hardware,56,0,2,No,Diplomat,3,2.06,75000,6
1313,Hardware,45,1,1,No,Diplomat,5,3.62,103000,8
1315,Hardware,34,1,1,Yes,Diplomat,2,2,66200,8
1316,Hardware,44,0,7,No,Explorer,3,2.1,78000,5
1320,Hardware,38,0,2,No,Analyst,6,1.58,72000,6
1322,Hardware,36,1,2,Yes,Diplomat,0,1.35,44800,5
1323,Hardware,53,0,10,No,Diplomat,3,2.56,69000,9
1326,Hardware,59,1,6,Yes,Diplomat,1,2.38,54200,7
1331,Hardware,64,0,1,No,Sentinel,5,2.23,72000,4
1332,Hardware,28,1,6,Yes,Diplomat,1,2.17,60400,7
1334,Hardware,46,1,4,Yes,Diplomat,1,2.05,78800,8
1339,Hardware,61,0,1,Yes,Explorer,5,3.76,133000,10
1340,Hardware,55,0,1,Yes,Explorer,2,2.59,83000,10
1345,Hardware,46,0,1,Yes,Analyst,3,3.01,62000,8
1346,Hardware,27,0,6,No,Diplomat,2,2.29,55000,6
1350,Hardware,56,1,2,Yes,Diplomat,5,2.74,120800,8
1351,Hardware,36,0,1,Yes,Analyst,1,3.07,53000,4
1352,Hardware,44,0,10,Yes,Diplomat,0,3.64,67000,9
1353,Hardware,55,0,2,Yes,Sentinel,6,1.78,87000,9
1354,Hardware,56,0,2,Yes,Analyst,3,2.93,98000,5
1355,Hardware,56,0,2,No,Explorer,5,2.64,114000,7
1360,Hardware,28,0,6,Yes,Explorer,1,1.69,66000,5
1363,Hardware,44,1,2,Yes,Diplomat,2,3.87,67200,6
1364,Hardware,59,0,2,Yes,Analyst,6,2.52,88000,8
1368,Hardware,28,0,1,Yes,Diplomat,2,3.17,57000,4
1370,Hardware,58,0,1,No,Explorer,3,3.41,82000,4
1371,Hardware,64,0,2,No,Sentinel,0,3.92,34000,2
1373,Hardware,27,1,1,Yes,Diplomat,1,2.09,43600,6
1374,Hardware,40,1,2,Yes,Explorer,0,2.97,49000,4
1376,Hardware,30,0,1,Yes,Sentinel,2,2.35,53000,4
1379,Hardware,59,0,6,Yes,Diplomat,1,4,75000,6
1380,Hardware,55,0,5,Yes,Explorer,4,1.62,143000,5
1385,Hardware,31,0,2,No,Diplomat,5,4,124000,10
1390,Hardware,61,0,1,Yes,Diplomat,2,2.92,105000,6
1394,Hardware,40,0,12,Yes,Explorer,2,2.09,121000,10
1397,Hardware,26,0,7,Yes,Explorer,1,4,107000,8
1399,Hardware,38,0,1,Yes,Sentinel,3,2.83,74000,5
1402,Hardware,46,1,2,Yes,Sentinel,2,1.87,63800,3
1404,Hardware,64,1,5,Yes,Explorer,2,2.25,69200,6
1406,Hardware,27,0,2,No,Analyst,3,3.04,59000,5
1408,Hardware,34,0,11,No,Explorer,5,3.14,91000,9
1410,Hardware,26,0,9,Yes,Diplomat,5,2.83,114000,10
1412,Hardware,30,0,1,No,Explorer,1,1.66,67000,4
1413,Hardware,47,1,1,Yes,Explorer,5,2.42,91600,7
1416,Hardware,63,1,2,Yes,Explorer,1,3.18,52400,10
1418,Hardware,42,0,2,Yes,Diplomat,1,2.09,83000,4
1419,Hardware,40,1,11,Yes,Diplomat,0,3.74,50000,3
1421,Hardware,49,0,1,Yes,Diplomat,4,4,146000,9
1422,Hardware,35,1,2,No,Diplomat,4,1.57,52000,6
1425,Hardware,32,0,2,Yes,Explorer,1,2.28,63000,7
1426,Hardware,37,0,10,Yes,Explorer,2,1.22,56000,8
1427,Hardware,62,1,5,Yes,Explorer,1,2.28,56600,5
1428,Hardware,48,1,2,Yes,Diplomat,1,4,88400,10
1432,Hardware,54,1,2,No,Explorer,5,3.67,74200,8
1434,Hardware,47,0,8,Yes,Explorer,2,3.15,77000,6
1439,Hardware,55,0,1,Yes,Explorer,2,3.35,105000,5
1440,Hardware,37,0,2,Yes,Explorer,4,3.01,94000,5
1441,Hardware,61,1,3,No,Explorer,2,2.25,51800,6
1443,Hardware,59,1,5,No,Sentinel,0,1.53,36200,2
1445,Hardware,38,1,1,Yes,Explorer,2,1.43,59400,3
1446,Hardware,60,0,1,Yes,Explorer,0,1.6,77000,6
1451,Hardware,39,1,13,Yes,Explorer,3,2.07,66200,9
1453,Hardware,42,1,2,Yes,Explorer,3,2.48,65600,7
1460,Hardware,32,0,7,Yes,Analyst,2,3.19,75000,6
1465,Hardware,25,1,2,Yes,Sentinel,4,1.21,54000,3
1467,Hardware,37,0,1,Yes,Sentinel,5,1.81,65000,6
1473,Hardware,50,1,7,Yes,Sentinel,2,2.08,54000,6
1474,Hardware,60,1,2,Yes,Explorer,2,4,70000,7
1476,Hardware,25,1,2,Yes,Diplomat,3,4,65000,6
1477,Hardware,54,0,1,Yes,Analyst,4,1.33,55000,6
1478,Hardware,29,0,7,Yes,Analyst,4,1.44,51000,5
1480,Hardware,51,1,11,Yes,Explorer,0,3.59,67800,8
1482,Hardware,33,0,1,No,Diplomat,5,2.93,90000,9
1485,Hardware,56,0,2,Yes,Explorer,1,2.62,84000,4
1487,Hardware,28,1,2,Yes,Analyst,1,1.56,44400,4
1488,Hardware,50,1,2,No,Explorer,3,2.67,67000,8
1489,Hardware,39,1,3,Yes,Diplomat,4,3.3,92200,9
1491,Hardware,27,1,7,No,Diplomat,2,2.01,47600,6
1498,Hardware,55,0,2,Yes,Explorer,5,2.17,100000,8
1500,Hardware,57,0,1,No,Diplomat,5,4,113000,9
1501,Hardware,41,1,4,Yes,Analyst,1,4,86800,6
1502,Hardware,59,1,6,No,Explorer,3,1.99,63200,6
1503,Hardware,56,1,5,Yes,Explorer,2,1.78,72800,7
1504,Hardware,64,1,2,Yes,Explorer,4,1.85,58200,9
1505,Hardware,25,0,1,Yes,Analyst,1,1.28,31000,3
1507,Hardware,44,0,8,Yes,Sentinel,6,1.85,101000,7
1508,Hardware,44,0,1,Yes,Diplomat,3,4,113000,10
1510,Hardware,41,1,2,Yes,Diplomat,5,2.19,65800,9
1513,Hardware,27,0,2,Yes,Explorer,1,1.31,43000,4
1516,Hardware,63,1,1,No,Diplomat,3,3.75,74400,7
1517,Hardware,36,1,1,Yes,Explorer,3,1.67,54800,6
1522,Hardware,31,0,8,No,Sentinel,1,2.75,57000,6
1523,Hardware,29,1,2,No,Explorer,5,2,68200,6
1524,Hardware,41,1,1,Yes,Analyst,0,4,54800,4
1525,Hardware,34,0,5,Yes,Diplomat,1,3.12,67000,7
1526,Hardware,57,1,2,No,Explorer,1,1.9,42600,5
1531,Hardware,33,0,1,Yes,Explorer,2,3.07,63000,3
1532,Hardware,28,0,5,Yes,Explorer,4,1.66,66000,8
1534,Hardware,42,0,2,Yes,Analyst,3,2.05,70000,5
1539,Hardware,58,0,2,Yes,Sentinel,2,1.84,52000,3
1540,Hardware,26,0,1,Yes,Diplomat,5,2.73,75000,8
1541,Hardware,38,0,9,Yes,Diplomat,4,2.92,79000,8
1543,Hardware,58,1,2,No,Explorer,2,3.99,73400,8
1546,Hardware,28,0,1,Yes,Analyst,4,3.56,77000,8
1547,Hardware,48,1,5,Yes,Diplomat,5,2.3,96400,8
1549,Hardware,33,1,2,Yes,Sentinel,3,3.54,69400,7
1552,Hardware,42,0,1,Yes,Diplomat,5,3.38,77000,7
1554,Hardware,25,1,1,Yes,Diplomat,2,2.75,63000,6
1555,Hardware,47,0,2,No,Explorer,2,1.72,66000,4
1557,Hardware,45,0,2,Yes,Explorer,4,2.36,110000,10
1560,Hardware,43,0,1,Yes,Diplomat,4,2.41,72000,7
1561,Hardware,61,0,6,Yes,Explorer,0,4,91000,6
1562,Hardware,48,1,1,Yes,Analyst,5,4,102400,10
1563,Hardware,63,0,2,Yes,Diplomat,3,2.17,76000,8
1564,Hardware,49,0,9,Yes,Analyst,0,1.32,49000,3
1565,Hardware,61,0,7,Yes,Analyst,2,4,77000,7
1570,Hardware,62,0,2,Yes,Explorer,3,1.98,72000,7
1571,Hardware,42,0,2,Yes,Explorer,5,1.97,87000,8
1572,Hardware,61,0,5,Yes,Diplomat,3,3.01,69000,8
1574,Hardware,44,1,8,No,Diplomat,0,3.68,58200,5
1575,Hardware,31,0,1,Yes,Explorer,2,2.52,58000,8
1578,Hardware,51,0,1,Yes,Diplomat,3,2.57,106000,9
1584,Hardware,38,0,3,Yes,Sentinel,2,4,104000,5
1585,Hardware,65,1,2,Yes,Explorer,0,3.1,74000,10
1587,Hardware,34,1,2,Yes,Diplomat,1,2.58,67200,7
1588,Hardware,31,0,5,Yes,Explorer,2,3.15,73000,10
1589,Hardware,39,1,10,Yes,Explorer,0,4,84200,9
1591,Hardware,31,0,2,Yes,Explorer,3,3.47,85000,9
1593,Hardware,38,0,2,Yes,Sentinel,1,2.27,57000,3
1596,Hardware,35,1,7,Yes,Explorer,0,1.98,64000,6
1597,Hardware,57,1,1,Yes,Explorer,4,3.02,116600,9
1601,Hardware,46,0,3,Yes,Explorer,2,1.56,109000,7
1602,Hardware,43,0,2,Yes,Explorer,5,3.43,89000,9
1603,Hardware,59,0,2,Yes,Sentinel,2,2.47,50000,3
1607,Hardware,32,0,1,Yes,Sentinel,1,2.05,54000,3
1609,Hardware,59,0,1,Yes,Explorer,4,2.96,85000,9
1610,Hardware,27,0,2,Yes,Sentinel,2,3.75,45000,3
1612,Hardware,45,0,1,Yes,Diplomat,3,3.54,108000,6
1614,Hardware,59,0,2,No,Explorer,2,4,89000,9
1615,Hardware,41,1,4,Yes,Diplomat,0,3.67,94800,8
1616,Hardware,43,0,4,Yes,Explorer,4,3.19,116000,9
1620,Hardware,44,0,1,Yes,Explorer,4,4,150000,10
1621,Hardware,63,0,1,Yes,Analyst,5,1.19,88000,4
1622,Hardware,41,0,5,Yes,Sentinel,4,2.98,61000,4
1623,Hardware,47,0,1,No,Analyst,2,4,62000,4
1625,Hardware,26,0,1,Yes,Diplomat,3,1.73,82000,7
1626,Hardware,46,0,3,Yes,Explorer,1,3.84,82000,10
1627,Hardware,61,1,5,Yes,Explorer,0,2.77,50800,3
1629,Hardware,55,1,4,No,Diplomat,3,3.2,74000,8
1631,Hardware,27,0,6,Yes,Diplomat,3,1.34,61000,7
1633,Hardware,43,1,11,Yes,Explorer,0,4,105400,9
1635,Hardware,39,1,1,Yes,Diplomat,1,3.86,45200,3
1636,Hardware,45,0,1,Yes,Explorer,2,3.6,115000,5
1641,Hardware,29,1,1,Yes,Analyst,2,2.66,48200,3
1643,Hardware,25,0,3,Yes,Diplomat,5,4,99000,8
1644,Hardware,29,1,4,Yes,Explorer,1,3,48200,5
1647,Hardware,27,0,2,Yes,Explorer,6,1.86,83000,6
1648,Hardware,51,0,2,Yes,Diplomat,0,1.36,59000,2
1649,Hardware,62,0,2,Yes,Diplomat,3,1.71,81000,7
1651,Hardware,33,0,8,Yes,Diplomat,2,4,88000,7
1655,Hardware,28,0,1,Yes,Analyst,1,2.36,43000,3
1660,Hardware,63,0,2,No,Diplomat,1,3.5,50000,6
1662,Hardware,40,1,1,No,Diplomat,2,2.34,54000,7
1663,Hardware,59,0,1,Yes,Explorer,4,3.06,108000,8
1665,Hardware,49,0,1,No,Explorer,5,4,147000,8
1667,Hardware,26,0,2,Yes,Diplomat,0,1.22,40000,3
1670,Hardware,42,0,1,Yes,Explorer,2,2.63,73000,4
1672,Hardware,56,0,4,Yes,Diplomat,2,2.59,73000,4
1673,Hardware,31,0,5,No,Sentinel,3,3.41,56000,6
1674,Hardware,60,0,2,No,Explorer,1,3.18,64000,3
1676,Hardware,40,1,1,Yes,Sentinel,1,1.55,63000,2
1678,Hardware,29,0,4,Yes,Sentinel,1,1.96,48000,3
1679,Hardware,35,1,2,Yes,Analyst,1,1.15,56000,4
1680,Hardware,54,1,6,Yes,Explorer,2,1.73,88200,6
1684,Hardware,40,0,1,Yes,Explorer,4,2.33,74000,8
1688,Hardware,38,1,1,Yes,Analyst,2,3.31,60400,3
1689,Hardware,53,0,1,Yes,Diplomat,0,3.71,80000,6
1690,Hardware,43,0,1,No,Explorer,1,2.11,59000,4
1695,Hardware,30,1,1,Yes,Diplomat,4,3.82,70000,8
1698,Hardware,63,0,7,No,Diplomat,0,2.67,52000,6
1701,Hardware,63,0,11,No,Analyst,3,1.91,59000,5
1704,Hardware,40,0,5,Yes,Explorer,4,2.35,105000,8
1705,Hardware,30,0,2,Yes,Explorer,3,2.03,80000,9
1706,Hardware,53,1,2,No,Diplomat,2,3.33,39400,7
1707,Hardware,59,0,3,Yes,Diplomat,3,4,94000,9
1708,Hardware,51,1,2,No,Explorer,2,3.75,79800,10
1709,Hardware,40,0,2,Yes,Explorer,6,2.2,113000,8
1710,Hardware,26,0,2,Yes,Explorer,3,2.77,99000,6
