Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS,Explorer,Diplomat,Analyst
106,Hardware,56,1,1,1,Explorer,1,3.17,73800,8,1,0,0
108,Hardware,60,1,10,0,Diplomat,0,3.49,60000,4,0,1,0
110,Hardware,36,0,1,0,Diplomat,4,4,75000,9,0,1,0
115,Hardware,47,1,2,0,Sentinel,5,4,82600,8,0,0,0
118,Hardware,51,0,2,1,Explorer,1,1.84,68000,5,1,0,0
122,Hardware,60,0,6,0,Analyst,4,4,91000,7,0,0,1
123,Hardware,52,0,1,0,Analyst,1,1.14,32000,2,0,0,1
125,Hardware,52,0,6,0,Analyst,4,3.28,59000,5,0,0,1
126,Hardware,28,0,3,1,Analyst,0,3.29,55000,3,0,0,1
128,Hardware,38,0,6,1,Analyst,5,3.93,128000,10,0,0,1
129,Hardware,42,1,2,1,Diplomat,4,3.14,80600,7,0,1,0
130,Hardware,30,0,7,0,Sentinel,1,2.97,51000,4,0,0,0
132,Hardware,32,0,2,1,Explorer,1,3.61,72000,5,1,0,0
135,Hardware,46,0,7,1,Sentinel,1,1.68,74000,5,0,0,0
136,Hardware,43,0,6,1,Diplomat,1,1.67,84000,4,0,1,0
138,Hardware,25,1,2,0,Explorer,1,3.33,45000,4,1,0,0
143,Hardware,28,0,2,1,Analyst,1,2.47,39000,4,0,0,1
144,Hardware,45,0,1,1,Diplomat,2,2.11,95000,5,0,1,0
145,Hardware,56,0,2,1,Diplomat,5,4,137000,9,0,1,0
147,Hardware,50,0,5,1,Explorer,2,1.76,73000,8,1,0,0
153,Hardware,27,0,1,1,Diplomat,2,1.44,53000,4,0,1,0
154,Hardware,27,0,2,0,Explorer,0,2.99,31000,4,1,0,0
155,Hardware,57,0,1,0,Explorer,3,3.98,85000,5,1,0,0
163,Hardware,52,0,1,1,Diplomat,2,3.02,126000,9,0,1,0
164,Hardware,42,0,2,0,Diplomat,2,2.13,67000,5,0,1,0
165,Hardware,36,0,1,1,Diplomat,6,3.21,129000,10,0,1,0
175,Hardware,61,0,1,1,Explorer,3,4,96000,9,1,0,0
178,Hardware,24,1,2,1,Explorer,3,3.85,68200,9,1,0,0
181,Hardware,39,1,1,1,Diplomat,3,4,104200,7,0,1,0
184,Hardware,48,0,10,1,Explorer,4,4,134000,8,1,0,0
185,Hardware,41,0,2,1,Analyst,1,4,62000,5,0,0,1
188,Hardware,35,0,2,1,Analyst,6,4,90000,8,0,0,1
193,Hardware,41,0,2,1,Explorer,3,2.65,94000,6,1,0,0
194,Hardware,32,0,2,1,Explorer,0,3.38,68000,5,1,0,0
195,Hardware,32,0,2,1,Sentinel,1,4,54000,5,0,0,0
197,Hardware,40,0,10,0,Explorer,5,3.82,94000,9,1,0,0
201,Hardware,58,0,1,0,Sentinel,4,1.82,62000,6,0,0,0
203,Hardware,37,1,6,1,Diplomat,0,4,86600,7,0,1,0
204,Hardware,25,0,1,0,Analyst,5,2.61,48000,6,0,0,1
205,Hardware,41,0,1,1,Sentinel,2,3.68,83000,5,0,0,0
206,Hardware,33,0,2,1,Diplomat,4,2.66,73000,6,0,1,0
207,Hardware,40,0,2,1,Analyst,4,4,96000,9,0,0,1
209,Hardware,48,0,8,1,Analyst,1,3.02,82000,5,0,0,1
215,Hardware,52,0,2,1,Diplomat,2,4,123000,8,0,1,0
216,Hardware,62,0,1,1,Sentinel,2,4,111000,7,0,0,0
219,Hardware,47,0,5,0,Analyst,0,4,74000,3,0,0,1
222,Hardware,34,1,1,1,Explorer,6,2.6,94200,8,1,0,0
228,Hardware,34,1,4,1,Diplomat,1,1.93,57200,7,0,1,0
231,Hardware,55,0,2,1,Diplomat,3,3.29,84000,7,0,1,0
233,Hardware,46,0,7,1,Explorer,6,4,182000,8,1,0,0
234,Hardware,54,0,2,1,Explorer,3,3.52,116000,9,1,0,0
238,Hardware,62,0,2,1,Explorer,1,3.68,84000,6,1,0,0
240,Hardware,54,1,9,1,Diplomat,3,2.04,78200,9,0,1,0
241,Hardware,48,0,2,1,Explorer,3,2.56,77000,10,1,0,0
242,Hardware,56,0,1,1,Diplomat,4,3.06,105000,6,0,1,0
244,Hardware,58,1,4,1,Analyst,1,1.12,57400,4,0,0,1
246,Hardware,42,1,1,1,Explorer,3,1.4,75600,3,1,0,0
248,Hardware,62,0,6,1,Explorer,5,4,139000,9,1,0,0
249,Hardware,32,1,2,1,Diplomat,0,4,68600,5,0,1,0
252,Hardware,54,0,1,0,Diplomat,3,2.05,76000,5,0,1,0
253,Hardware,34,0,2,1,Diplomat,1,1.61,63000,5,0,1,0
256,Hardware,25,0,2,1,Explorer,6,4,91000,9,1,0,0
257,Hardware,32,0,1,0,Explorer,0,2.85,35000,3,1,0,0
258,Hardware,41,0,1,1,Diplomat,1,1.86,58000,5,0,1,0
259,Hardware,54,0,4,1,Explorer,1,3.79,109000,7,1,0,0
262,Hardware,45,0,7,1,Sentinel,3,1.43,53000,6,0,0,0
264,Hardware,36,1,2,1,Explorer,0,3.02,65800,3,1,0,0
268,Hardware,33,0,2,1,Explorer,4,2.83,97000,9,1,0,0
271,Hardware,43,1,2,1,Diplomat,3,3.4,82400,5,0,1,0
276,Hardware,25,0,2,1,Explorer,4,1.85,73000,9,1,0,0
279,Hardware,26,1,2,0,Sentinel,2,3.31,47800,5,0,0,0
282,Hardware,40,1,1,1,Sentinel,1,2.32,56000,3,0,0,0
284,Hardware,34,1,2,0,Sentinel,1,2.05,37200,2,0,0,0
286,Hardware,24,0,7,0,Explorer,3,1.82,54000,8,1,0,0
287,Hardware,58,0,3,0,Diplomat,1,4,76000,5,0,1,0
289,Hardware,33,0,1,1,Diplomat,3,3.16,72000,8,0,1,0
291,Hardware,36,0,1,1,Diplomat,3,2.11,101000,9,0,1,0
294,Hardware,56,1,7,0,Diplomat,1,4,59800,6,0,1,0
296,Hardware,52,1,4,1,Explorer,2,2.94,68600,5,1,0,0
298,Hardware,31,0,2,1,Explorer,6,2.43,79000,10,1,0,0
299,Hardware,30,0,2,1,Explorer,4,1.62,80000,6,1,0,0
300,Hardware,46,1,1,0,Explorer,3,1.96,56800,6,1,0,0
302,Hardware,52,0,1,1,Sentinel,2,1.67,65000,4,0,0,0
308,Hardware,54,1,3,1,Diplomat,0,3.66,60200,9,0,1,0
310,Hardware,25,0,2,0,Sentinel,3,3.73,59000,6,0,0,0
312,Hardware,50,1,5,0,Diplomat,0,3.9,67000,7,0,1,0
314,Hardware,59,0,1,1,Explorer,1,3.47,70000,7,1,0,0
315,Hardware,35,0,5,1,Explorer,1,1.25,53000,5,1,0,0
319,Hardware,53,0,2,1,Analyst,4,3.63,65000,3,0,0,1
320,Hardware,60,0,1,0,Analyst,3,2.12,65000,4,0,0,1
326,Hardware,49,1,3,1,Diplomat,1,2.76,56200,4,0,1,0
327,Hardware,44,0,7,0,Diplomat,4,3.67,107000,8,0,1,0
329,Hardware,53,0,1,1,Explorer,2,2.24,74000,4,1,0,0
330,Hardware,48,1,9,1,Sentinel,0,4,72400,3,0,0,0
331,Hardware,56,0,2,1,Explorer,2,3.88,101000,9,1,0,0
332,Hardware,47,0,2,0,Explorer,3,2.57,95000,8,1,0,0
333,Hardware,26,1,6,0,Sentinel,5,3.35,59800,7,0,0,0
334,Hardware,59,1,1,1,Diplomat,3,2.92,99200,9,0,1,0
335,Hardware,33,1,1,1,Explorer,1,2.44,62400,5,1,0,0
336,Hardware,50,1,2,1,Explorer,2,2.9,88000,9,1,0,0
338,Hardware,25,1,1,1,Analyst,2,2.6,49000,5,0,0,1
339,Hardware,26,0,7,1,Explorer,2,2.46,57000,5,1,0,0
340,Hardware,28,0,2,1,Explorer,1,3.71,85000,9,1,0,0
341,Hardware,49,1,1,1,Diplomat,1,3.66,90200,7,0,1,0
344,Hardware,64,1,3,1,Explorer,4,4,102200,9,1,0,0
345,Hardware,42,0,1,0,Explorer,3,1.83,87000,5,1,0,0
346,Hardware,38,0,2,1,Diplomat,2,3.22,79000,6,0,1,0
348,Hardware,56,0,1,1,Explorer,1,4,102000,8,1,0,0
350,Hardware,30,0,1,1,Explorer,4,2.61,62000,7,1,0,0
351,Hardware,59,0,1,0,Diplomat,2,2.59,57000,3,0,1,0
352,Hardware,46,0,7,1,Explorer,4,2.54,96000,9,1,0,0
353,Hardware,45,0,1,1,Explorer,1,3.63,83000,5,1,0,0
355,Hardware,50,0,1,1,Diplomat,4,2.49,84000,7,0,1,0
357,Hardware,35,0,1,1,Sentinel,2,3.61,76000,5,0,0,0
358,Hardware,32,0,1,1,Explorer,1,3.21,59000,5,1,0,0
1188,Hardware,58,0,1,1,Explorer,1,2.39,70000,6,1,0,0
1192,Hardware,63,1,1,0,Diplomat,1,1.99,63400,4,0,1,0
1194,Hardware,53,1,2,0,Diplomat,4,1.32,54400,6,0,1,0
1195,Hardware,57,0,2,1,Analyst,4,3.12,72000,6,0,0,1
1197,Hardware,42,0,2,1,Explorer,3,1.13,77000,5,1,0,0
1198,Hardware,38,1,6,1,Explorer,1,1.9,98400,5,1,0,0
1203,Hardware,26,0,4,1,Sentinel,4,2.7,52000,4,0,0,0
1204,Hardware,51,1,2,1,Diplomat,2,2.03,85800,9,0,1,0
1208,Hardware,64,0,3,1,Explorer,0,1.58,45000,4,1,0,0
1210,Hardware,28,0,7,1,Diplomat,5,2.32,72000,10,0,1,0
1211,Hardware,48,0,7,1,Explorer,3,2.91,117000,7,1,0,0
1215,Hardware,37,0,1,1,Sentinel,2,3.35,73000,4,0,0,0
1217,Hardware,40,0,2,1,Diplomat,3,3.55,85000,9,0,1,0
1218,Hardware,42,1,7,1,Explorer,0,2.5,52600,10,1,0,0
1222,Hardware,40,1,1,0,Explorer,5,1.98,64000,7,1,0,0
1224,Hardware,47,0,2,1,Diplomat,3,1.72,93000,7,0,1,0
1225,Hardware,53,0,4,1,Diplomat,2,3.16,66000,4,0,1,0
1226,Hardware,43,1,2,0,Diplomat,2,1.79,65400,6,0,1,0
1227,Hardware,51,0,2,0,Diplomat,0,1.76,61000,4,0,1,0
1228,Hardware,50,1,9,1,Sentinel,0,4,63000,6,0,0,0
1230,Hardware,30,0,2,0,Diplomat,0,4,79000,5,0,1,0
1231,Hardware,60,0,2,1,Explorer,1,2.04,54000,7,1,0,0
1233,Hardware,28,0,1,1,Analyst,2,2.24,45000,3,0,0,1
1234,Hardware,56,0,2,1,Sentinel,3,1.93,61000,3,0,0,0
1236,Hardware,62,0,2,1,Explorer,5,3.63,127000,10,1,0,0
1238,Hardware,27,0,1,0,Explorer,3,1.99,69000,6,1,0,0
1239,Hardware,58,1,1,0,Diplomat,1,3.15,70400,7,0,1,0
1240,Hardware,45,1,1,1,Explorer,3,3.42,70000,9,1,0,0
1241,Hardware,64,0,1,1,Explorer,1,4,76000,10,1,0,0
1242,Hardware,45,1,1,1,Explorer,2,4,67000,8,1,0,0
1243,Hardware,33,0,5,1,Explorer,2,2.18,82000,7,1,0,0
1244,Hardware,43,0,1,1,Diplomat,0,2.12,71000,3,0,1,0
1245,Hardware,49,0,2,1,Diplomat,1,2.33,79000,8,0,1,0
1246,Hardware,28,0,2,1,Diplomat,2,3.66,82000,8,0,1,0
1249,Hardware,44,0,2,1,Explorer,2,2.83,115000,6,1,0,0
1252,Hardware,63,0,2,1,Sentinel,5,3.49,133000,8,0,0,0
1256,Hardware,49,0,10,1,Explorer,4,2.52,127000,6,1,0,0
1259,Hardware,39,0,1,1,Diplomat,2,2.12,112000,5,0,1,0
1262,Hardware,35,0,6,1,Diplomat,1,3.79,90000,8,0,1,0
1263,Hardware,30,0,4,1,Diplomat,2,2.5,69000,8,0,1,0
1265,Hardware,41,0,1,0,Sentinel,4,1.35,51000,4,0,0,0
1267,Hardware,56,0,9,0,Diplomat,1,3.28,68000,4,0,1,0
1274,Hardware,47,0,10,1,Diplomat,1,1.22,93000,5,0,1,0
1275,Hardware,62,1,2,1,Diplomat,3,3.29,79600,7,0,1,0
1276,Hardware,63,1,11,1,Explorer,4,2.3,82400,8,1,0,0
1277,Hardware,59,1,1,1,Explorer,3,3.57,83200,9,1,0,0
1278,Hardware,38,0,3,1,Explorer,2,4,84000,9,1,0,0
1279,Hardware,43,0,11,0,Sentinel,3,1.93,73000,8,0,0,0
1283,Hardware,54,1,1,1,Diplomat,0,2.36,68200,7,0,1,0
1285,Hardware,37,0,6,1,Diplomat,2,2.34,79000,8,0,1,0
1287,Hardware,49,1,9,0,Diplomat,4,2.79,88200,9,0,1,0
1288,Hardware,49,0,3,1,Diplomat,1,3.98,145000,6,0,1,0
1291,Hardware,28,1,2,0,Sentinel,2,3.06,51400,4,0,0,0
1292,Hardware,43,0,2,1,Diplomat,5,3.47,127000,8,0,1,0
1295,Hardware,49,1,1,1,Analyst,0,1.48,51200,3,0,0,1
1296,Hardware,55,0,1,1,Analyst,3,1.45,62000,3,0,0,1
1297,Hardware,42,1,1,1,Diplomat,2,1.76,72600,7,0,1,0
1299,Hardware,43,0,11,0,Sentinel,5,3.26,135000,10,0,0,0
1300,Hardware,43,1,2,1,Analyst,0,1.91,48400,3,0,0,1
1304,Hardware,36,0,1,0,Explorer,3,2.59,79000,8,1,0,0
1306,Hardware,35,0,2,0,Explorer,1,2.27,49000,6,1,0,0
1309,Hardware,44,1,1,1,Explorer,2,2.13,64200,5,1,0,0
1310,Hardware,31,0,2,1,Sentinel,1,2.59,53000,3,0,0,0
1312,Hardware,56,0,2,0,Diplomat,3,2.06,75000,6,0,1,0
1313,Hardware,45,1,1,0,Diplomat,5,3.62,103000,8,0,1,0
1315,Hardware,34,1,1,1,Diplomat,2,2,66200,8,0,1,0
1316,Hardware,44,0,7,0,Explorer,3,2.1,78000,5,1,0,0
1320,Hardware,38,0,2,0,Analyst,6,1.58,72000,6,0,0,1
1322,Hardware,36,1,2,1,Diplomat,0,1.35,44800,5,0,1,0
1323,Hardware,53,0,10,0,Diplomat,3,2.56,69000,9,0,1,0
1326,Hardware,59,1,6,1,Diplomat,1,2.38,54200,7,0,1,0
1331,Hardware,64,0,1,0,Sentinel,5,2.23,72000,4,0,0,0
1332,Hardware,28,1,6,1,Diplomat,1,2.17,60400,7,0,1,0
1334,Hardware,46,1,4,1,Diplomat,1,2.05,78800,8,0,1,0
1339,Hardware,61,0,1,1,Explorer,5,3.76,133000,10,1,0,0
1340,Hardware,55,0,1,1,Explorer,2,2.59,83000,10,1,0,0
1345,Hardware,46,0,1,1,Analyst,3,3.01,62000,8,0,0,1
1346,Hardware,27,0,6,0,Diplomat,2,2.29,55000,6,0,1,0
1350,Hardware,56,1,2,1,Diplomat,5,2.74,120800,8,0,1,0
1351,Hardware,36,0,1,1,Analyst,1,3.07,53000,4,0,0,1
1352,Hardware,44,0,10,1,Diplomat,0,3.64,67000,9,0,1,0
1353,Hardware,55,0,2,1,Sentinel,6,1.78,87000,9,0,0,0
1354,Hardware,56,0,2,1,Analyst,3,2.93,98000,5,0,0,1
1355,Hardware,56,0,2,0,Explorer,5,2.64,114000,7,1,0,0
1360,Hardware,28,0,6,1,Explorer,1,1.69,66000,5,1,0,0
1363,Hardware,44,1,2,1,Diplomat,2,3.87,67200,6,0,1,0
1364,Hardware,59,0,2,1,Analyst,6,2.52,88000,8,0,0,1
1368,Hardware,28,0,1,1,Diplomat,2,3.17,57000,4,0,1,0
1370,Hardware,58,0,1,0,Explorer,3,3.41,82000,4,1,0,0
1371,Hardware,64,0,2,0,Sentinel,0,3.92,34000,2,0,0,0
1373,Hardware,27,1,1,1,Diplomat,1,2.09,43600,6,0,1,0
1374,Hardware,40,1,2,1,Explorer,0,2.97,49000,4,1,0,0
1376,Hardware,30,0,1,1,Sentinel,2,2.35,53000,4,0,0,0
1379,Hardware,59,0,6,1,Diplomat,1,4,75000,6,0,1,0
1380,Hardware,55,0,5,1,Explorer,4,1.62,143000,5,1,0,0
1385,Hardware,31,0,2,0,Diplomat,5,4,124000,10,0,1,0
1390,Hardware,61,0,1,1,Diplomat,2,2.92,105000,6,0,1,0
1394,Hardware,40,0,12,1,Explorer,2,2.09,121000,10,1,0,0
1397,Hardware,26,0,7,1,Explorer,1,4,107000,8,1,0,0
1399,Hardware,38,0,1,1,Sentinel,3,2.83,74000,5,0,0,0
1402,Hardware,46,1,2,1,Sentinel,2,1.87,63800,3,0,0,0
1404,Hardware,64,1,5,1,Explorer,2,2.25,69200,6,1,0,0
1406,Hardware,27,0,2,0,Analyst,3,3.04,59000,5,0,0,1
1408,Hardware,34,0,11,0,Explorer,5,3.14,91000,9,1,0,0
1410,Hardware,26,0,9,1,Diplomat,5,2.83,114000,10,0,1,0
1412,Hardware,30,0,1,0,Explorer,1,1.66,67000,4,1,0,0
1413,Hardware,47,1,1,1,Explorer,5,2.42,91600,7,1,0,0
1416,Hardware,63,1,2,1,Explorer,1,3.18,52400,10,1,0,0
1418,Hardware,42,0,2,1,Diplomat,1,2.09,83000,4,0,1,0
1419,Hardware,40,1,11,1,Diplomat,0,3.74,50000,3,0,1,0
1421,Hardware,49,0,1,1,Diplomat,4,4,146000,9,0,1,0
1422,Hardware,35,1,2,0,Diplomat,4,1.57,52000,6,0,1,0
1425,Hardware,32,0,2,1,Explorer,1,2.28,63000,7,1,0,0
1426,Hardware,37,0,10,1,Explorer,2,1.22,56000,8,1,0,0
1427,Hardware,62,1,5,1,Explorer,1,2.28,56600,5,1,0,0
1428,Hardware,48,1,2,1,Diplomat,1,4,88400,10,0,1,0
1432,Hardware,54,1,2,0,Explorer,5,3.67,74200,8,1,0,0
1434,Hardware,47,0,8,1,Explorer,2,3.15,77000,6,1,0,0
1439,Hardware,55,0,1,1,Explorer,2,3.35,105000,5,1,0,0
1440,Hardware,37,0,2,1,Explorer,4,3.01,94000,5,1,0,0
1441,Hardware,61,1,3,0,Explorer,2,2.25,51800,6,1,0,0
1443,Hardware,59,1,5,0,Sentinel,0,1.53,36200,2,0,0,0
1445,Hardware,38,1,1,1,Explorer,2,1.43,59400,3,1,0,0
1446,Hardware,60,0,1,1,Explorer,0,1.6,77000,6,1,0,0
1451,Hardware,39,1,13,1,Explorer,3,2.07,66200,9,1,0,0
1453,Hardware,42,1,2,1,Explorer,3,2.48,65600,7,1,0,0
1460,Hardware,32,0,7,1,Analyst,2,3.19,75000,6,0,0,1
1465,Hardware,25,1,2,1,Sentinel,4,1.21,54000,3,0,0,0
1467,Hardware,37,0,1,1,Sentinel,5,1.81,65000,6,0,0,0
1473,Hardware,50,1,7,1,Sentinel,2,2.08,54000,6,0,0,0
1474,Hardware,60,1,2,1,Explorer,2,4,70000,7,1,0,0
1476,Hardware,25,1,2,1,Diplomat,3,4,65000,6,0,1,0
1477,Hardware,54,0,1,1,Analyst,4,1.33,55000,6,0,0,1
1478,Hardware,29,0,7,1,Analyst,4,1.44,51000,5,0,0,1
1480,Hardware,51,1,11,1,Explorer,0,3.59,67800,8,1,0,0
1482,Hardware,33,0,1,0,Diplomat,5,2.93,90000,9,0,1,0
1485,Hardware,56,0,2,1,Explorer,1,2.62,84000,4,1,0,0
1487,Hardware,28,1,2,1,Analyst,1,1.56,44400,4,0,0,1
1488,Hardware,50,1,2,0,Explorer,3,2.67,67000,8,1,0,0
1489,Hardware,39,1,3,1,Diplomat,4,3.3,92200,9,0,1,0
1491,Hardware,27,1,7,0,Diplomat,2,2.01,47600,6,0,1,0
1498,Hardware,55,0,2,1,Explorer,5,2.17,100000,8,1,0,0
1500,Hardware,57,0,1,0,Diplomat,5,4,113000,9,0,1,0
1501,Hardware,41,1,4,1,Analyst,1,4,86800,6,0,0,1
1502,Hardware,59,1,6,0,Explorer,3,1.99,63200,6,1,0,0
1503,Hardware,56,1,5,1,Explorer,2,1.78,72800,7,1,0,0
1504,Hardware,64,1,2,1,Explorer,4,1.85,58200,9,1,0,0
1505,Hardware,25,0,1,1,Analyst,1,1.28,31000,3,0,0,1
1507,Hardware,44,0,8,1,Sentinel,6,1.85,101000,7,0,0,0
1508,Hardware,44,0,1,1,Diplomat,3,4,113000,10,0,1,0
1510,Hardware,41,1,2,1,Diplomat,5,2.19,65800,9,0,1,0
1513,Hardware,27,0,2,1,Explorer,1,1.31,43000,4,1,0,0
1516,Hardware,63,1,1,0,Diplomat,3,3.75,74400,7,0,1,0
1517,Hardware,36,1,1,1,Explorer,3,1.67,54800,6,1,0,0
1522,Hardware,31,0,8,0,Sentinel,1,2.75,57000,6,0,0,0
1523,Hardware,29,1,2,0,Explorer,5,2,68200,6,1,0,0
1524,Hardware,41,1,1,1,Analyst,0,4,54800,4,0,0,1
1525,Hardware,34,0,5,1,Diplomat,1,3.12,67000,7,0,1,0
1526,Hardware,57,1,2,0,Explorer,1,1.9,42600,5,1,0,0
1531,Hardware,33,0,1,1,Explorer,2,3.07,63000,3,1,0,0
1532,Hardware,28,0,5,1,Explorer,4,1.66,66000,8,1,0,0
1534,Hardware,42,0,2,1,Analyst,3,2.05,70000,5,0,0,1
1539,Hardware,58,0,2,1,Sentinel,2,1.84,52000,3,0,0,0
1540,Hardware,26,0,1,1,Diplomat,5,2.73,75000,8,0,1,0
1541,Hardware,38,0,9,1,Diplomat,4,2.92,79000,8,0,1,0
1543,Hardware,58,1,2,0,Explorer,2,3.99,73400,8,1,0,0
1546,Hardware,28,0,1,1,Analyst,4,3.56,77000,8,0,0,1
1547,Hardware,48,1,5,1,Diplomat,5,2.3,96400,8,0,1,0
1549,Hardware,33,1,2,1,Sentinel,3,3.54,69400,7,0,0,0
1552,Hardware,42,0,1,1,Diplomat,5,3.38,77000,7,0,1,0
1554,Hardware,25,1,1,1,Diplomat,2,2.75,63000,6,0,1,0
1555,Hardware,47,0,2,0,Explorer,2,1.72,66000,4,1,0,0
1557,Hardware,45,0,2,1,Explorer,4,2.36,110000,10,1,0,0
1560,Hardware,43,0,1,1,Diplomat,4,2.41,72000,7,0,1,0
1561,Hardware,61,0,6,1,Explorer,0,4,91000,6,1,0,0
1562,Hardware,48,1,1,1,Analyst,5,4,102400,10,0,0,1
1563,Hardware,63,0,2,1,Diplomat,3,2.17,76000,8,0,1,0
1564,Hardware,49,0,9,1,Analyst,0,1.32,49000,3,0,0,1
1565,Hardware,61,0,7,1,Analyst,2,4,77000,7,0,0,1
1570,Hardware,62,0,2,1,Explorer,3,1.98,72000,7,1,0,0
1571,Hardware,42,0,2,1,Explorer,5,1.97,87000,8,1,0,0
1572,Hardware,61,0,5,1,Diplomat,3,3.01,69000,8,0,1,0
1574,Hardware,44,1,8,0,Diplomat,0,3.68,58200,5,0,1,0
1575,Hardware,31,0,1,1,Explorer,2,2.52,58000,8,1,0,0
1578,Hardware,51,0,1,1,Diplomat,3,2.57,106000,9,0,1,0
1584,Hardware,38,0,3,1,Sentinel,2,4,104000,5,0,0,0
1585,Hardware,65,1,2,1,Explorer,0,3.1,74000,10,1,0,0
1587,Hardware,34,1,2,1,Diplomat,1,2.58,67200,7,0,1,0
1588,Hardware,31,0,5,1,Explorer,2,3.15,73000,10,1,0,0
1589,Hardware,39,1,10,1,Explorer,0,4,84200,9,1,0,0
1591,Hardware,31,0,2,1,Explorer,3,3.47,85000,9,1,0,0
1593,Hardware,38,0,2,1,Sentinel,1,2.27,57000,3,0,0,0
1596,Hardware,35,1,7,1,Explorer,0,1.98,64000,6,1,0,0
1597,Hardware,57,1,1,1,Explorer,4,3.02,116600,9,1,0,0
1601,Hardware,46,0,3,1,Explorer,2,1.56,109000,7,1,0,0
1602,Hardware,43,0,2,1,Explorer,5,3.43,89000,9,1,0,0
1603,Hardware,59,0,2,1,Sentinel,2,2.47,50000,3,0,0,0
1607,Hardware,32,0,1,1,Sentinel,1,2.05,54000,3,0,0,0
1609,Hardware,59,0,1,1,Explorer,4,2.96,85000,9,1,0,0
1610,Hardware,27,0,2,1,Sentinel,2,3.75,45000,3,0,0,0
1612,Hardware,45,0,1,1,Diplomat,3,3.54,108000,6,0,1,0
